state.abb,name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17",Median Household Income,
AL,Tallapoosa County,7107.00,17.60,2073.00,26.10,55270.00,
AL,Tuscaloosa County,36853.00,17.00,9540.00,20.40,60875.00,
AL,Walker County,10557.00,16.70,2996.00,21.30,51065.00,
AL,Washington County,2493.00,16.70,820.00,25.60,53785.00,
AL,Wilcox County,2965.00,29.70,1001.00,45.60,33682.00,
AL,Winston County,4284.00,18.30,1191.00,25.20,51149.00,
AK,Alaska,77305.00,10.80,23113.00,13.40,88072.00,
AK,Aleutians East Borough,549.00,16.20,27.00,14.30,85852.00,
AK,Aleutians West Census Area,473.00,9.70,38.00,7.90,112218.00,
AK,Anchorage Borough,29127.00,10.40,8369.00,12.70,99162.00,
AK,Bethel Census Area,3910.00,21.90,1693.00,27.00,59011.00,
AK,Bristol Bay Borough,117.00,13.60,24.00,13.30,96382.00,
AK,Chugach Census Area,448.00,6.70,117.00,7.80,91356.00,
AK,Copper River Census Area,359.00,13.90,123.00,19.60,63837.00,
AK,Denali Borough,116.00,7.30,31.00,11.20,90897.00,
AK,Dillingham Census Area,924.00,19.70,384.00,26.80,69716.00,
AK,Fairbanks North Star Borough,7117.00,7.80,1826.00,8.40,84166.00,
AK,Haines Borough,210.00,10.30,58.00,16.70,70610.00,
AK,Hoonah-Angoon Census Area,399.00,17.50,106.00,28.10,64181.00,
AK,Juneau Borough,2455.00,7.90,554.00,8.80,102097.00,
AK,Kenai Peninsula Borough,6512.00,11.00,1660.00,12.70,76254.00,
AK,Ketchikan Gateway Borough,1164.00,8.60,317.00,11.70,82648.00,
AK,Kodiak Island Borough,921.00,7.50,268.00,9.30,83222.00,
AK,Kusilvak Census Area,2454.00,29.80,1145.00,33.30,41824.00,
AK,Lake and Peninsula Borough,276.00,20.10,107.00,27.00,63038.00,
AK,Matanuska-Susitna Borough,10866.00,9.80,3186.00,11.30,86313.00,
AK,Nome Census Area,1909.00,19.90,803.00,24.70,64480.00,
AK,North Slope Borough,1474.00,13.70,406.00,14.90,95795.00,
AK,Northwest Arctic Borough,1447.00,19.70,665.00,24.40,69234.00,
AK,Petersburg Borough,230.00,7.10,63.00,9.50,76641.00,
AK,Prince of Wales-Hyder Census Area,820.00,14.60,259.00,21.80,58381.00,
AK,Sitka Borough,651.00,7.90,155.00,9.80,90345.00,
AK,Skagway Municipality,100.00,9.30,15.00,9.70,73603.00,
AK,Southeast Fairbanks Census Area,865.00,12.50,258.00,14.50,74732.00,
AK,Wrangell City and Borough,246.00,12.00,74.00,19.40,67761.00,
AK,Yakutat Borough,82.00,11.70,20.00,14.80,78552.00,
AK,Yukon-Koyukuk Census Area,1084.00,21.10,362.00,25.90,47798.00,
AZ,Arizona,904567.00,12.50,250329.00,16.00,74355.00,
AZ,Apache County,18155.00,28.20,5761.00,34.20,40632.00,
AZ,Cochise County,21447.00,17.70,6311.00,24.60,55254.00,
AZ,Coconino County,22092.00,16.40,5447.00,19.80,64016.00,
AZ,Gila County,9832.00,18.50,2715.00,27.10,51928.00,
AZ,Graham County,5434.00,14.80,1698.00,16.60,63797.00,
AZ,Greenlee County,851.00,9.20,226.00,9.20,76338.00,
AZ,La Paz County,3258.00,20.00,772.00,30.20,53925.00,
AZ,Maricopa County,487571.00,10.90,139817.00,14.00,83668.00,
AZ,Mohave County,36075.00,16.70,8183.00,23.50,54842.00,
AZ,Navajo County,27684.00,25.90,9022.00,33.50,49948.00,
AZ,Pima County,150271.00,14.60,36448.00,17.90,64007.00,
AZ,Pinal County,50448.00,11.40,14455.00,14.60,76232.00,
AZ,Santa Cruz County,9009.00,18.50,3323.00,27.20,53467.00,
AZ,Yavapai County,32990.00,13.60,6886.00,18.70,64187.00,
AZ,Yuma County,29448.00,14.60,9264.00,18.10,54209.00,
AR,Arkansas,481650.00,16.30,144789.00,21.20,55505.00,
AR,Arkansas County,3049.00,18.80,993.00,26.60,52145.00,
AR,Ashley County,3956.00,21.80,1156.00,28.80,47253.00,
AR,Baxter County,5753.00,13.80,1446.00,19.60,48573.00,
AR,Benton County,23586.00,7.90,7444.00,9.90,86374.00,
AR,Boone County,5044.00,13.30,1501.00,17.80,53025.00,
AR,Bradley County,2189.00,21.90,616.00,25.60,44982.00,
AR,Calhoun County,720.00,15.90,166.00,19.60,52535.00,
AR,Carroll County,4553.00,16.00,1297.00,21.20,50433.00,
AR,Chicot County,2468.00,27.00,783.00,37.30,38217.00,
AR,Clark County,3762.00,20.30,999.00,24.00,50519.00,
AR,Clay County,2812.00,20.00,845.00,28.10,46855.00,
AR,Cleburne County,3256.00,13.00,929.00,20.30,52662.00,
AR,Cleveland County,1114.00,15.10,322.00,20.10,55533.00,
AR,Columbia County,4509.00,22.20,1378.00,29.90,47278.00,
AR,Conway County,3746.00,18.00,1239.00,26.90,52405.00,
AR,Craighead County,18689.00,17.10,6291.00,22.80,60580.00,
AR,Crawford County,9709.00,16.10,2954.00,20.60,54741.00,
AR,Crittenden County,10118.00,21.80,3841.00,30.80,49644.00,
AR,Cross County,3589.00,21.90,1206.00,31.60,48299.00,
AR,Dallas County,1192.00,20.10,339.00,29.20,44476.00,
AR,Desha County,2986.00,27.90,1071.00,40.70,41251.00,
AR,Drew County,3387.00,20.80,976.00,27.30,48635.00,
AR,Faulkner County,17847.00,14.60,4065.00,14.60,63429.00,
AR,Franklin County,2853.00,16.80,836.00,22.30,48248.00,
AR,Fulton County,2099.00,17.20,642.00,24.80,42588.00,
AR,Garland County,17077.00,17.30,4376.00,23.00,53239.00,
AR,Grant County,2387.00,13.30,783.00,20.20,63512.00,
AR,Greene County,7401.00,16.30,2434.00,22.60,54475.00,
AR,Hempstead County,4011.00,20.90,1371.00,28.80,46423.00,
AR,Hot Spring County,5339.00,17.40,1300.00,20.90,50654.00,
AR,Howard County,2214.00,17.90,721.00,22.90,46449.00,
AR,Independence County,5525.00,15.00,1772.00,20.00,57611.00,
AR,Izard County,2894.00,22.40,718.00,29.10,43920.00,
AR,Jackson County,3515.00,24.70,894.00,27.60,43579.00,
AR,Jefferson County,13011.00,22.20,4493.00,33.40,45894.00,
AR,Johnson County,4815.00,18.90,1532.00,24.70,46660.00,
AR,Lafayette County,1429.00,23.70,397.00,35.90,42437.00,
AR,Lawrence County,2976.00,19.10,876.00,25.00,47312.00,
AR,Lee County,2353.00,35.10,663.00,44.90,35213.00,
AR,Lincoln County,2265.00,25.20,537.00,27.00,48311.00,
AR,Little River County,1971.00,17.00,613.00,24.20,48883.00,
AR,Logan County,3919.00,18.70,1192.00,27.70,48510.00,
AR,Lonoke County,8529.00,11.50,2774.00,15.30,66160.00,
AR,Madison County,2856.00,16.50,953.00,23.60,51233.00,
AR,Marion County,2662.00,15.60,782.00,24.80,49313.00,
AR,Miller County,9380.00,22.90,2764.00,28.30,48652.00,
AR,Mississippi County,8269.00,21.80,2993.00,30.40,45168.00,
AR,Monroe County,1612.00,24.90,538.00,36.60,33090.00,
AR,Montgomery County,1692.00,20.00,469.00,30.90,46069.00,
AR,Nevada County,1748.00,21.90,567.00,31.60,44649.00,
AR,Newton County,1357.00,19.40,379.00,29.40,47996.00,
AR,Ouachita County,3906.00,18.10,1250.00,25.90,49275.00,
AR,Perry County,1614.00,16.20,459.00,21.90,56640.00,
AR,Phillips County,5263.00,34.90,2040.00,53.30,36098.00,
AR,Pike County,1895.00,19.10,614.00,28.20,41348.00,
AR,Poinsett County,4416.00,20.00,1462.00,27.60,47372.00,
AR,Polk County,3325.00,17.30,1036.00,24.80,45289.00,
AR,Pope County,9379.00,15.30,2655.00,18.50,57881.00,
AR,Prairie County,1182.00,14.90,345.00,21.10,51017.00,
AR,Pulaski County,67560.00,17.30,22117.00,24.60,57057.00,
AR,Randolph County,3674.00,19.90,1084.00,24.00,45638.00,
AR,St. Francis County,6544.00,34.40,2089.00,44.80,38062.00,
AR,Saline County,12335.00,9.80,3393.00,11.90,70330.00,
AR,Scott County,2042.00,21.20,680.00,31.10,42599.00,
AR,Searcy County,1703.00,21.70,483.00,30.90,38070.00,
AR,Sebastian County,21673.00,17.10,5902.00,19.80,52679.00,
AR,Sevier County,3203.00,20.60,1160.00,26.60,49384.00,
AR,Sharp County,3433.00,19.50,998.00,27.60,45740.00,
AR,Stone County,2531.00,20.40,750.00,31.10,41063.00,
AR,Union County,6993.00,18.90,2071.00,23.40,50258.00,
AR,Van Buren County,3127.00,19.60,761.00,25.30,47150.00,
AR,Washington County,35177.00,14.30,8364.00,14.40,62100.00,
AR,White County,11907.00,15.90,3374.00,19.20,56866.00,
AR,Woodruff County,1337.00,22.60,414.00,32.20,41225.00,
AR,Yell County,3235.00,16.30,1065.00,22.80,50275.00,
CA,California,4673718.00,12.20,1275904.00,15.30,91517.00,
CA,Alameda County,161918.00,10.10,32186.00,10.30,121190.00,
CA,Alpine County,193.00,16.30,50.00,26.60,71646.00,
CA,Amador County,3767.00,10.10,746.00,12.00,74356.00,
CA,Butte County,37152.00,18.30,7632.00,18.70,63353.00,
CA,Calaveras County,5561.00,12.10,1267.00,16.20,73175.00,
CA,Colusa County,2324.00,10.70,785.00,13.70,72963.00,
CA,Contra Costa County,99767.00,8.70,24751.00,10.00,119667.00,
CA,Del Norte County,4088.00,16.50,1243.00,22.50,57297.00,
CA,El Dorado County,14477.00,7.60,2384.00,6.50,104859.00,
CA,Fresno County,185876.00,18.60,69172.00,25.10,68693.00,
CA,Glenn County,3933.00,14.00,1433.00,19.20,63247.00,
CA,Humboldt County,23910.00,18.00,5012.00,20.50,57660.00,
CA,Imperial County,36354.00,21.20,13642.00,27.50,55523.00,
CA,Inyo County,2073.00,11.20,503.00,13.50,64332.00,
CA,Kern County,158995.00,17.80,60314.00,23.60,65981.00,
CA,Kings County,24576.00,17.90,8579.00,21.30,63683.00,
CA,Lake County,11556.00,17.10,3304.00,22.80,51848.00,
CA,Lassen County,4060.00,17.20,907.00,17.00,60308.00,
CA,Los Angeles County,1328547.00,13.90,351449.00,18.10,82455.00,
CA,Madera County,33721.00,22.00,13297.00,31.30,71273.00,
CA,Marin County,19345.00,7.70,3863.00,8.10,135960.00,
CA,Mariposa County,2555.00,15.10,625.00,21.30,66513.00,
CA,Mendocino County,15657.00,17.60,4140.00,22.60,63621.00,
CA,Merced County,53454.00,18.80,21234.00,26.00,65253.00,
CA,Modoc County,1154.00,13.70,425.00,28.00,51166.00,
CA,Mono County,1319.00,10.30,231.00,10.60,79105.00,
CA,Monterey County,50699.00,12.10,17671.00,16.40,91450.00,
CA,Napa County,11343.00,8.60,2354.00,9.30,98580.00,
CA,Nevada County,10683.00,10.60,1968.00,11.80,80069.00,
CA,Orange County,308990.00,10.00,70338.00,11.00,106047.00,
CA,Placer County,25827.00,6.20,4904.00,5.50,106114.00,
CA,Plumas County,2416.00,12.60,575.00,18.00,66725.00,
CA,Riverside County,264935.00,10.90,77331.00,13.30,86350.00,
CA,Sacramento County,190656.00,12.20,54525.00,15.40,83985.00,
CA,San Benito County,4842.00,7.20,1385.00,8.30,106560.00,
CA,San Bernardino County,291258.00,13.50,99605.00,18.20,78779.00,
CA,San Diego County,338482.00,10.70,84001.00,12.60,98365.00,
CA,San Francisco County,83231.00,10.40,8572.00,7.90,135366.00,
CA,San Joaquin County,96295.00,12.30,32521.00,16.00,84738.00,
CA,San Luis Obispo County,31956.00,11.90,5048.00,10.70,88578.00,
CA,San Mateo County,52227.00,7.20,9978.00,7.20,143795.00,
CA,Santa Barbara County,59962.00,14.10,15293.00,16.10,89334.00,
CA,Santa Clara County,137728.00,7.50,25899.00,6.90,150502.00,
CA,Santa Cruz County,31936.00,12.50,5592.00,12.00,99256.00,
CA,Shasta County,24791.00,13.90,5971.00,15.80,66312.00,
CA,Sierra County,389.00,12.20,71.00,13.60,63939.00,
CA,Siskiyou County,6823.00,15.80,1512.00,17.70,51593.00,
CA,Solano County,43957.00,10.00,11210.00,11.70,92711.00,
CA,Sonoma County,42504.00,8.90,8295.00,9.40,96312.00,
CA,Stanislaus County,81730.00,15.00,26509.00,18.50,75249.00,
CA,Sutter County,13784.00,14.10,4365.00,18.00,66071.00,
CA,Tehama County,9732.00,15.10,2922.00,19.30,58900.00,
CA,Trinity County,2617.00,16.80,650.00,24.40,49485.00,
CA,Tulare County,86096.00,18.20,33866.00,24.30,64313.00,
CA,Tuolumne County,7014.00,13.50,1386.00,15.10,70108.00,
CA,Ventura County,78211.00,9.50,21960.00,12.50,101981.00,
CA,Yolo County,33935.00,16.10,6213.00,14.50,82359.00,
CA,Yuba County,12337.00,14.90,4235.00,19.00,63626.00,
CO,Colorado,542333.00,9.50,133767.00,11.10,89096.00,
CO,Adams County,53153.00,10.20,18220.00,14.20,89849.00,
CO,Alamosa County,2727.00,17.40,846.00,21.20,53942.00,
CO,Arapahoe County,52215.00,8.00,14397.00,10.00,93525.00,
CO,Archuleta County,1362.00,9.80,399.00,17.00,66025.00,
CO,Baca County,642.00,19.00,202.00,26.40,47147.00,
CO,Bent County,1120.00,27.00,252.00,29.10,42958.00,
CO,Boulder County,37074.00,11.80,4802.00,8.60,96584.00,
CO,Broomfield County,4014.00,5.30,841.00,5.50,114746.00,
CO,Chaffee County,1906.00,10.00,330.00,11.20,75151.00,
CO,Cheyenne County,238.00,14.00,86.00,20.50,62891.00,
CO,Clear Creek County,691.00,7.40,131.00,10.40,90350.00,
CO,Conejos County,1358.00,18.10,436.00,23.00,49141.00,
CO,Costilla County,832.00,23.20,227.00,34.70,36970.00,
CO,Crowley County,1090.00,35.60,209.00,31.40,49785.00,
CO,Custer County,581.00,10.90,143.00,18.50,67766.00,
CO,Delta County,4549.00,14.60,1207.00,20.20,53910.00,
CO,Denver County,83390.00,11.90,21182.00,16.70,87619.00,
CO,Dolores County,323.00,13.20,68.00,16.30,56695.00,
CO,Douglas County,11794.00,3.10,2053.00,2.40,140768.00,
CO,Eagle County,3993.00,7.20,820.00,7.50,105813.00,
CO,Elbert County,1523.00,5.50,405.00,7.10,120394.00,
CO,El Paso County,61445.00,8.50,17269.00,10.30,82248.00,
CO,Fremont County,6998.00,16.80,1551.00,20.20,57275.00,
CO,Garfield County,4894.00,8.00,1513.00,10.30,86566.00,
CO,Gilpin County,373.00,6.40,67.00,8.40,89805.00,
CO,Grand County,1101.00,7.00,209.00,8.70,88059.00,
CO,Gunnison County,1578.00,9.70,249.00,9.30,88855.00,
CO,Hinsdale County,62.00,8.00,16.00,16.20,70675.00,
CO,Huerfano County,1356.00,19.40,328.00,29.40,47968.00,
CO,Jackson County,175.00,13.50,44.00,19.10,62439.00,
CO,Jefferson County,37513.00,6.60,7043.00,6.80,102413.00,
CO,Kiowa County,209.00,15.00,68.00,20.30,55573.00,
CO,Kit Carson County,786.00,11.40,291.00,16.80,56720.00,
CO,Lake County,798.00,11.00,239.00,16.60,71326.00,
CO,La Plata County,6407.00,11.70,1284.00,13.20,79358.00,
CO,Larimer County,39357.00,11.00,5903.00,9.00,88338.00,
CO,Las Animas County,2476.00,17.80,611.00,23.80,49097.00,
CO,Lincoln County,745.00,16.10,199.00,18.10,54345.00,
CO,Logan County,2774.00,15.20,650.00,17.70,58976.00,
CO,Mesa County,16577.00,10.70,4218.00,13.30,69578.00,
CO,Mineral County,81.00,8.70,13.00,10.90,69794.00,
CO,Moffat County,1302.00,10.00,419.00,13.10,69088.00,
CO,Montezuma County,3975.00,15.20,1248.00,22.90,58345.00,
CO,Montrose County,5101.00,11.70,1337.00,15.40,65736.00,
CO,Morgan County,3311.00,11.50,1091.00,14.40,65599.00,
CO,Otero County,4160.00,23.20,1370.00,32.70,46607.00,
CO,Ouray County,335.00,6.60,57.00,8.10,90837.00,
CO,Park County,1460.00,8.20,271.00,10.60,88020.00,
CO,Phillips County,489.00,11.20,145.00,13.60,68571.00,
CO,Pitkin County,1070.00,6.40,106.00,4.30,111291.00,
CO,Prowers County,2145.00,18.60,733.00,24.10,48832.00,
CO,Pueblo County,24790.00,14.90,6588.00,18.10,58314.00,
CO,Rio Blanco County,634.00,9.90,182.00,11.90,71630.00,
CO,Rio Grande County,1579.00,14.10,487.00,20.60,56877.00,
CO,Routt County,1489.00,6.00,253.00,6.00,104407.00,
CO,Saguache County,1487.00,22.50,365.00,29.70,45048.00,
CO,San Juan County,99.00,12.40,20.00,23.50,62732.00,
CO,San Miguel County,562.00,7.00,107.00,8.40,94387.00,
CO,Sedgwick County,319.00,14.10,88.00,20.60,46980.00,
CO,Summit County,2651.00,8.70,316.00,6.80,96984.00,
CO,Teller County,1928.00,7.80,472.00,11.70,81466.00,
CO,Washington County,569.00,12.30,184.00,17.00,61492.00,
CO,Weld County,31318.00,9.10,8454.00,9.70,90770.00,
CO,Yuma County,1280.00,13.20,457.00,16.90,56075.00,
CT,Connecticut,345710.00,9.80,89266.00,12.40,88182.00,
CT,Capitol Planning Region,97319.00,10.30,26420.00,13.60,84551.00,
CT,Greater Bridgeport Planning Region,41540.00,13.10,10682.00,15.40,81042.00,
CT,Lower Connecticut River Valley Planning Region,11880.00,7.00,2119.00,7.30,99557.00,
CT,Naugatuck Valley Planning Region,43191.00,9.70,11028.00,12.10,81783.00,
CT,Northeastern Connecticut Planning Region,8047.00,8.50,2016.00,10.90,81711.00,
CT,Northwest Hills Planning Region,8813.00,7.90,1876.00,9.10,87206.00,
CT,South Central Connecticut Planning Region,60090.00,11.00,17243.00,15.70,84615.00,
CT,Southeastern Connecticut Planning Region,28992.00,10.80,6534.00,12.60,80159.00,
CT,Western Connecticut Planning Region,45839.00,7.40,11348.00,8.40,122080.00,
DE,Delaware,99843.00,10.00,29390.00,14.30,81933.00,
DE,Kent County,19204.00,10.50,6087.00,14.50,71866.00,
DE,New Castle County,56547.00,10.10,15976.00,13.40,85427.00,
DE,Sussex County,24092.00,9.50,7327.00,16.80,81188.00,
DC,District of Columbia,91474.00,14.20,24651.00,20.00,99897.00,
DC,District of Columbia,91474.00,14.20,24651.00,20.00,99897.00,
FL,Florida,2770789.00,12.70,729819.00,17.30,69287.00,
FL,Alachua County,50816.00,19.10,7360.00,15.00,58783.00,
FL,Baker County,3338.00,12.80,1202.00,17.90,67375.00,
FL,Bay County,21668.00,11.90,6700.00,17.80,65521.00,
FL,Bradford County,4028.00,16.40,1256.00,22.80,57664.00,
FL,Brevard County,62175.00,10.00,14880.00,13.40,74899.00,
FL,Broward County,257252.00,13.30,74305.00,18.90,70834.00,
FL,Calhoun County,2635.00,22.20,807.00,30.10,46766.00,
FL,Charlotte County,18138.00,9.10,3348.00,14.40,65040.00,
FL,Citrus County,26985.00,16.90,5981.00,25.90,52534.00,
FL,Clay County,19677.00,8.80,5922.00,11.80,84364.00,
FL,Collier County,40381.00,10.30,10486.00,16.60,81821.00,
FL,Columbia County,12901.00,19.00,4022.00,26.20,54060.00,
FL,DeSoto County,8087.00,24.80,1989.00,32.60,47097.00,
FL,Dixie County,3411.00,22.10,929.00,30.50,40587.00,
FL,Duval County,137467.00,13.90,45053.00,20.30,70203.00,
FL,Escambia County,50147.00,16.40,16452.00,25.00,61634.00,
FL,Flagler County,11424.00,9.10,3266.00,16.50,73336.00,
FL,Franklin County,2050.00,18.10,501.00,27.30,52180.00,
FL,Gadsden County,10947.00,26.00,3218.00,34.70,45628.00,
FL,Gilchrist County,2619.00,14.60,782.00,20.40,58178.00,
FL,Glades County,2100.00,19.50,435.00,26.70,50559.00,
FL,Gulf County,2425.00,18.00,637.00,25.70,55909.00,
FL,Hamilton County,2715.00,23.40,927.00,35.10,45484.00,
FL,Hardee County,5867.00,24.70,1894.00,29.90,48572.00,
FL,Hendry County,8590.00,21.10,2796.00,27.50,55308.00,
FL,Hernando County,24654.00,12.10,6094.00,16.30,60582.00,
FL,Highlands County,16289.00,15.60,4148.00,24.20,51954.00,
FL,Hillsborough County,191075.00,12.90,52185.00,16.40,74091.00,
FL,Holmes County,3513.00,19.60,1093.00,28.00,50118.00,
FL,Indian River County,19060.00,11.50,3975.00,16.50,69462.00,
FL,Jackson County,7242.00,17.50,2328.00,26.50,50625.00,
FL,Jefferson County,2203.00,16.00,609.00,24.50,56900.00,
FL,Lafayette County,1463.00,21.40,425.00,28.80,50775.00,
FL,Lake County,39355.00,9.70,10749.00,14.20,67637.00,
FL,Lee County,89587.00,11.10,21777.00,16.00,71607.00,
FL,Leon County,52424.00,18.70,8747.00,16.40,61560.00,
FL,Levy County,7151.00,15.90,2172.00,25.40,55147.00,
FL,Liberty County,1332.00,21.90,360.00,28.40,49514.00,
FL,Madison County,3537.00,21.20,1036.00,32.30,46141.00,
FL,Manatee County,42580.00,10.10,10004.00,14.00,72176.00,
FL,Marion County,60464.00,15.60,16645.00,23.20,54517.00,
FL,Martin County,15939.00,10.10,3861.00,15.40,80678.00,
FL,Miami-Dade County,381423.00,14.50,89891.00,17.30,66952.00,
FL,Monroe County,10680.00,13.20,1795.00,14.40,79459.00,
FL,Nassau County,6603.00,6.80,1877.00,10.20,90808.00,
FL,Okaloosa County,16979.00,8.00,5934.00,12.60,76663.00,
FL,Okeechobee County,7027.00,18.40,2164.00,25.80,50176.00,
FL,Orange County,178037.00,12.60,49216.00,16.30,72129.00,
FL,Osceola County,54089.00,12.90,18157.00,18.40,63782.00,
FL,Palm Beach County,165851.00,11.10,43300.00,15.70,76713.00,
FL,Pasco County,65148.00,10.90,16765.00,14.00,65933.00,
FL,Pinellas County,117299.00,12.40,22711.00,15.90,66427.00,
FL,Polk County,120353.00,15.70,40670.00,24.20,61941.00,
FL,Putnam County,16484.00,22.50,5674.00,37.00,46459.00,
FL,St. Johns County,17860.00,5.90,3933.00,6.10,103757.00,
FL,St. Lucie County,47534.00,13.40,13058.00,19.10,64038.00,
FL,Santa Rosa County,18064.00,9.40,4961.00,11.80,82537.00,
FL,Sarasota County,38638.00,8.50,7147.00,11.50,78309.00,
FL,Seminole County,52808.00,11.10,11450.00,11.90,80296.00,
FL,Sumter County,12830.00,9.40,2773.00,27.50,77851.00,
FL,Suwannee County,8054.00,18.90,2674.00,29.00,51295.00,
FL,Taylor County,3831.00,19.50,1180.00,27.40,48482.00,
FL,Union County,2070.00,18.00,636.00,18.80,60749.00,
FL,Volusia County,66107.00,11.80,17064.00,17.40,64601.00,
FL,Wakulla County,3771.00,11.70,1107.00,15.60,63482.00,
FL,Walton County,9000.00,11.10,2967.00,17.90,78814.00,
FL,Washington County,4538.00,19.40,1357.00,27.30,49233.00,
GA,Georgia,1372488.00,12.90,426470.00,17.20,72742.00,
GA,Appling County,3644.00,20.30,1286.00,29.00,51217.00,
GA,Atkinson County,1717.00,21.10,606.00,30.20,46060.00,
GA,Bacon County,2485.00,22.90,888.00,31.60,46044.00,
GA,Baker County,599.00,21.60,205.00,39.00,50129.00,
GA,Baldwin County,9253.00,24.10,2284.00,29.30,49883.00,
GA,Banks County,2328.00,12.10,658.00,16.30,66928.00,
GA,Barrow County,8282.00,9.30,2580.00,11.80,77583.00,
GA,Bartow County,11545.00,10.30,3431.00,13.40,80017.00,
GA,Ben Hill County,4489.00,26.80,1502.00,36.40,41141.00,
GA,Berrien County,3947.00,21.90,1319.00,31.70,48725.00,
GA,Bibb County,34064.00,22.50,11574.00,31.20,48539.00,
GA,Bleckley County,1862.00,16.30,626.00,25.90,56070.00,
GA,Brantley County,2928.00,16.20,989.00,24.00,50370.00,
GA,Brooks County,4067.00,25.50,1184.00,35.40,43353.00,
GA,Bryan County,3864.00,8.00,1326.00,9.60,93057.00,
GA,Bulloch County,18278.00,23.80,3689.00,22.90,49471.00,
